Chemical_Formula,Ag,Au,Mixing_Parameter,BCM_CE_eV,SE_Energy_eV,BCM_EE_eV,
Ag299Au10,299,10,0.84496124,-2.714250255,-54.745182,-0.006914578,54.745182
Ag300Au9,300,9,0.860465116,-2.71102844,-54.875085,-0.00622312,54.875085
Ag301Au8,301,8,0.875968992,-2.707806624,-55.005057,-0.005531663,55.005057
Ag302Au7,302,7,0.891472868,-2.704584809,-55.135095,-0.004840205,55.135095
Ag303Au6,303,6,0.906976744,-2.701362993,-55.265161,-0.004148747,55.265161
Ag304Au5,304,5,0.92248062,-2.698141177,-55.395297,-0.003457289,55.395297
Ag305Au4,305,4,0.937984496,-2.694919362,-55.52546,-0.002765831,55.52546
Ag306Au3,306,3,0.953488372,-2.691697546,-55.65568884,-0.002074373,55.65568884
Ag307Au2,307,2,0.968992248,-2.688475731,-55.785984,-0.001382916,55.785984
Ag308Au,308,1,0.984496124,-2.685253915,-55.916305,-0.000691458,55.916305
Ag309,309,0,1,-2.6820321,-56.046652,0,56.046652
